Отметка времени,Когда вы в последний раз принимали душ на ЛШ?,В какое время дня это было?,Насколько тёплой или холодной была вода?,В каком душе это было?,Сколько людей стояло в очереди ПЕРЕД вами?,Сколько людей принимало душ ОДНОВРЕМЕННО с вами?
02.08.2018 22:35:48,сегодня,14:00:00,прохладная,домик,0,3
02.08.2018 22:38:07,сегодня,8:30:00,ледяная,вагончик,0,2
02.08.2018 23:20:32,давно,19:30:00,комфортно тёплая,вагончик,0,1
02.08.2018 23:31:18,сегодня,1:00:00,едва тёплая,домик,0,1
02.08.2018 23:32:55,вчера,19:20:00,ледяная,домик,0,2
03.08.2018 1:18:27,вчера,8:50:00,горячая,вагончик,1,2
03.08.2018 1:38:21,давно,17:14:00,горячая,вагончик,0,2
03.08.2018 2:35:13,давно,22:40:00,комфортно тёплая,домик,0,1
03.08.2018 9:38:13,вчера,19:30:00,ледяная,домик,0,0
03.08.2018 10:05:06,вчера,16:45:00,прохладная,вагончик,2,2
03.08.2018 10:05:37,вчера,8:00:00,горячая,домик,0,0
03.08.2018 10:08:16,вчера,8:00:00,прохладная,домик,0,1
03.08.2018 10:18:35,давно,22:20:00,прохладная,домик,0,0
03.08.2018 10:19:50,сегодня,9:00:00,едва тёплая,вагончик,0,1
03.08.2018 10:26:03,сегодня,6:20:00,комфортно тёплая,домик,0,2
03.08.2018 10:27:02,давно,7:50:00,прохладная,домик,0,0
03.08.2018 10:57:00,вчера,21:00:00,горячая,палатка,0,2
03.08.2018 11:01:10,сегодня,9:03:00,прохладная,вагончик,0,1
03.08.2018 14:51:33,вчера,9:00:00,горячая,вагончик,1,2
03.08.2018 17:33:27,сегодня,15:20:00,ледяная,домик,0,2
